timestamp,simulation_time,engine_id,operating_mode,obs_rpm,obs_mean_torque,obs_instant_torque,obs_load_torque,obs_friction_torque,obs_net_torque,obs_cylinder_1_torque,obs_cylinder_2_torque,obs_cylinder_3_torque,obs_cylinder_4_torque,obs_cht,obs_egt,obs_oil_temperature,obs_oil_pressure,obs_oil_pressure_psi,obs_fuel_flow,obs_fuel_flow_lph,obs_fuel_pressure,obs_vibration,exp_rpm,exp_crank_angle,exp_mean_torque,exp_instant_torque,exp_load_torque,exp_friction_torque,exp_net_torque,exp_cylinder_1_torque,exp_cylinder_2_torque,exp_cylinder_3_torque,exp_cylinder_4_torque,exp_cht,exp_egt,exp_oil_temperature,exp_oil_pressure,exp_oil_pressure_psi,exp_fuel_flow,exp_fuel_flow_lph,exp_fuel_pressure,exp_vibration,res_signed_rpm,res_signed_mean_torque,res_signed_instant_torque,res_signed_load_torque,res_signed_friction_torque,res_signed_net_torque,res_signed_cylinder_1_torque,res_signed_cylinder_2_torque,res_signed_cylinder_3_torque,res_signed_cylinder_4_torque,res_signed_cht,res_signed_egt,res_signed_oil_temperature,res_signed_oil_pressure,res_signed_oil_pressure_psi,res_signed_fuel_flow,res_signed_fuel_flow_lph,res_signed_fuel_pressure,res_signed_vibration,res_norm_rpm,res_norm_mean_torque,res_norm_instant_torque,res_norm_load_torque,res_norm_friction_torque,res_norm_net_torque,res_norm_cylinder_1_torque,res_norm_cylinder_2_torque,res_norm_cylinder_3_torque,res_norm_cylinder_4_torque,res_norm_cht,res_norm_egt,res_norm_oil_temperature,res_norm_oil_pressure,res_norm_oil_pressure_psi,res_norm_fuel_flow,res_norm_fuel_flow_lph,res_norm_fuel_pressure,res_norm_vibration,ind_thermal_dev,ind_oil_dev,ind_vibration_dev,ind_torque_dev,ind_cylinder_balance_dev,gt_degradation_type,gt_target_component,gt_active_severity,gt_current_health,gt_is_degraded
0.0,0.0,AEROTWIN-4-001,IDLE,911.360202809392,22.48604081632653,38.74303548511851,12.311344529918864,2.638937829015426,23.792753126184223,-0.2042828094928349,-0.2042828094928349,-1.239511984037725,40.39111308814191,25.07229836145782,617.1107142857143,24.999579506279403,367.3392958486187,53.27815679129195,0.0009648312881527,4.824156440763737,322.42705098312484,0.3444157740507984,911.720202809392,54.0,22.48604081632653,38.74303548511851,12.311344529918863,1.8849555921538759,24.546735363045773,-0.20428280949283495,-0.20428280949283495,-1.2395119840377247,40.39111308814191,25.07229836145782,617.1107142857143,24.999579506279403,367.3392958486187,53.278156791291956,0.0009648312881527473,4.824156440763737,322.42705098312484,0.34441577405079843,-0.36000000000001364,0.0,0.0,1.7763568394002505e-15,0.7539822368615501,-0.7539822368615496,5.551115123125783e-17,5.551115123125783e-17,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,-4.7271214720367993e-17,0.0,0.0,-5.551115123125783e-17,-0.034883720930233876,0.0,0.0,1.2909570053780887e-15,1.0959044140429504,-0.36530147134764995,1.613696256722611e-17,1.613696256722611e-17,-6.454785026890444e-17,0.0,0.0,0.0,0.0,0.0,-1.2909570053780885e-14,-3.4354080465383705e-13,0.0,0.0,-4.0342406418065275e-15,0.0,0.0,4.0342406418065275e-15,1.0959044140429504,1.8308097292142582,BEARING,BEARING,0.4,0.6,True
0.01,0.01,AEROTWIN-4-001,IDLE,919.072257105311,22.54991262426899,31.448441081191433,12.624104651036458,2.672247683392084,16.152088746762892,-0.2048630767119711,-0.2048630767119711,-1.4555211069685527,33.313688341583926,25.144964697200113,614.2985293726326,24.999162131994975,367.92362963095144,53.36290739441394,0.0009673859771413,4.836929885706899,322.42705098312484,0.215894583742242,919.7866852581626,108.70321216856351,22.551929255025392,31.43798367767902,12.634080015916153,1.9095023275169214,16.894401334245945,-0.20488139754488222,-0.20488139754488222,-1.4556512737093212,33.31666757301774,25.144998716542478,614.2986836583468,24.99916222714526,367.94212302093996,53.36558963871109,0.0009674670721207087,4.837335360603544,322.42705098312484,0.21568432457861159,-0.7144281528516103,-0.0020166307564011277,0.010457403512411645,-0.009975364879695192,0.7627453558751625,-0.7423125874830525,1.8320832911117302e-05,1.8320832911117302e-05,0.00013016674076848922,-0.0029792314338124015,-3.401934236535453e-05,-0.00015428571418851789,-9.515028409623483e-08,-0.018493389988520903,-0.002682244297155023,-8.10949794086439e-08,-0.00040547489664444214,0.0,0.0002102591636304052,-0.0692275341910475,-0.0014655746776170982,0.003039942881515013,-0.007249538430011039,1.1086415056325034,-0.35964757145496723,5.325823520673634e-06,5.325823520673634e-06,3.7839168828049185e-05,-0.0008660556493640701,-2.4723359277147184e-05,-4.485049831061566e-05,-1.3829983153522502e-07,-5.375985461779332e-06,-0.00487326362128456,-0.0005893530480279352,-0.000736691309310396,0.0,0.01528046247313991,4.485049831061566e-05,5.375985461779332e-06,0.01528046247313991,1.1086415056325034,1.8701522417328398,BEARING,BEARING,0.4,0.6,True
0.02,0.02,AEROTWIN-4-001,IDLE,912.827517651212,22.593013664466245,2.454571303627381,12.838662424376198,2.6948606076375516,-13.078951728386368,-0.2052546441584362,-0.2052546441584362,-0.4288121348347843,3.293892726779038,25.217642896724257,611.5599542485048,24.998746967505035,368.3194834475517,53.420321240266,0.0009691250625894,4.845625312947043,322.42705098312484,0.4127659308711778,913.8907111511512,163.89041328405327,22.59699583723367,2.43652753204661,12.858630096757178,1.9263967288511674,-12.348499293561733,-0.20529082168953028,-0.20529082168953028,-0.4288877158985167,3.2944732978400832,25.217743880749786,611.5604108605702,24.998747254674214,368.356120799028,53.42563504844943,0.0009692863622438738,4.846431811219369,322.42705098312484,0.4131674714188739,-1.0631934999391888,-0.003982172767425851,0.018043771580770862,-0.019967672380980517,0.7684638787863842,-0.7304524348246346,3.6177531094083726e-05,3.6177531094083726e-05,7.558106373239948e-05,-0.0005805710610453652,-0.00010098402552927155,-0.0004566120653635153,-2.871691791028752e-07,-0.036637351476315416,-0.005313808183430524,-1.612996544738017e-07,-0.0008064982723263725,0.0,-0.0004015405476960887,-0.10302262596309969,-0.002894020906559484,0.005245282436270599,-0.014511389811759094,1.1169533121895117,-0.3539013734615477,1.0516724155256895e-05,1.0516724155256895e-05,2.197123945709287e-05,-0.0001687706572806294,-7.338955343697058e-05,-0.00013273606551264977,-4.173970626495278e-07,-1.0650392871021922e-05,-0.009654448007686268,-0.0011722358610014656,-0.001465294826174368,0.0,-0.029181725850006446,0.00013273606551264977,1.0650392871021922e-05,0.029181725850006446,1.1169533121895117,1.5501320918924029,BEARING,BEARING,0.4,0.6,True
0.03,0.03,AEROTWIN-4-001,IDLE,918.929972292544,22.55812929334983,28.122288870916385,12.664787682316046,2.676550075217811,12.780951113382528,-0.9588312066409612,-0.2049377241013545,29.49099552576006,-0.2049377241013545,25.289019314497494,608.8871671855713,24.99833029031808,367.9989972173475,53.373838558409645,0.0009677165629358,4.838582814679008,322.42705098312484,0.1575759037541242,920.3975271279221,218.72385595312232,22.564078219973208,28.23619860935717,12.694306865876573,1.9140482295576056,13.627843513922992,-0.9590840652188306,-0.20499176934008806,29.49877275613904,-0.20499176934008806,25.289218563447868,608.8880680366922,24.998330859761708,368.0535922584802,53.38175691398545,0.0009679561876554297,4.839780938277149,322.42705098312484,0.1594889994500768,-1.4675548353781096,-0.005948926623378981,-0.11390973844078545,-0.029519183560527296,0.7625018456602053,-0.8468924005404634,0.0002528585778693859,5.404523873356326e-05,-0.007777230378980704,5.404523873356326e-05,-0.00019924895037348733,-0.0009008511208321579,-5.694436282510651e-07,-0.05459504113269986,-0.00791835557580356,-2.396247196297281e-07,-0.0011981235981401994,0.0,-0.0019130956959526046,-0.14220492590873154,-0.004323347836757979,-0.03311329605836786,-0.02145289502945297,1.1082875663665772,-0.41031608553317017,7.350540054342613e-05,1.5710825213245132e-05,-0.0022608227845874137,1.5710825213245132e-05,-0.00014480301625980182,-0.00026187532582330167,-8.276796922253851e-07,-1.5870651492063912e-05,-0.01438654719441053,-0.0017414587182393026,-0.0021768233977837916,0.0,-0.139033117438416,0.00026187532582330167,1.5870651492063912e-05,0.139033117438416,1.1082875663665772,1.844968368582864,BEARING,BEARING,0.4,0.6,True
0.04,0.04,AEROTWIN-4-001,IDLE,930.432671521367,22.592220363892174,39.620327870922374,12.834687534997116,2.6944434067765464,24.091196929148712,-1.536092507312355,-0.2052474371240202,41.56691525248277,-0.2052474371240202,25.36026085721213,606.2838151369145,24.997915397869946,368.312186108393,53.4192628487891,0.0009690929422331,4.845464711165724,322.42705098312484,0.3583318686462233,932.2075952274379,273.94770758079767,22.600399199856536,39.53833978255651,12.875714922929404,1.9276760730715286,24.73494878655558,-1.536648603545529,-0.2053217408043714,41.58196330778317,-0.2053217408043714,25.36059463442855,606.2853224188297,24.99791636220934,368.38744151859504,53.43017774297399,0.0009694243008088881,4.84712150404444,322.42705098312484,0.35678700029451316,-1.774923706070922,-0.008178835964361753,0.08198808836586124,-0.04102738793228866,0.7667673337050178,-0.643751857406869,0.000556096233173875,7.43036803512176e-05,-0.015048055300397323,7.43036803512176e-05,-0.00033377721642224856,-0.0015072819151100703,-9.643393958924662e-07,-0.07525541020203264,-0.010914894184885782,-3.3135857578810157e-07,-0.001656792878716118,0.0,0.001544868351710138,-0.17198873120842267,-0.005943921485728016,0.023833746617982918,-0.02981641564846559,1.114487403641014,-0.31189527975139,0.00016165588173659156,2.159990707884232e-05,-0.004374434680348058,2.159990707884232e-05,-0.00024257065146965733,-0.00043816334741571803,-1.40165609868091e-06,-2.187657273314902e-05,-0.019830839725446543,-0.0024081291845065513,-0.003010161480225504,0.0,0.11227240928126002,0.00043816334741571803,2.187657273314902e-05,0.11227240928126002,1.114487403641014,1.8463290283992488,BEARING,BEARING,0.4,0.6,True
0.05,0.05,AEROTWIN-4-001,IDLE,926.5122462274346,22.6561225689506,7.675266334554559,13.158014786987511,2.7281710824773544,-8.210919534910307,-0.7821600464758917,-0.2058279804970734,8.869082342024596,-0.2058279804970734,25.431863833055285,603.7504766177151,24.997503790309473,368.90139760389025,53.50472090567303,0.0009716938289824,4.858469144912133,322.42705098312484,0.3227654529537803,928.5674518115385,329.88016329444395,22.66594144258035,7.536776465605339,13.208263986015696,1.9524110218580841,-7.623898542268441,-0.7824990246320707,-0.20591718371019238,8.872926088829159,-0.20591718371019238,25.432359112212716,603.7527068991707,24.99750524371725,368.9921857399031,53.517888635344065,0.0009720959095849927,4.860479547924964,322.42705098312484,0.32540133812481437,-2.0552055841038737,-0.009818873629750868,0.13848986894922,-0.05024919902818503,0.7757600606192703,-0.5870209926418655,0.00033897815617900395,8.920321311897683e-05,-0.0038437468045628975,8.920321311897683e-05,-0.0004952791574304172,-0.002230281455581462,-1.453407776352833e-06,-0.09078813601286129,-0.013167729671032191,-4.020806025926754e-07,-0.0020104030128305084,0.0,-0.0026358851710340803,-0.19914782791704203,-0.00713580932394685,0.040258682834075576,-0.036518313247227485,1.127558227644288,-0.2844093956598185,9.8540161679943e-05,2.5931166604353726e-05,-0.001117368257140377,2.5931166604353726e-05,-0.00035994124813257055,-0.0006483376324364715,-2.1125113028384197e-06,-2.6391900003738743e-05,-0.023923927454636965,-0.002922097402563047,-0.0036526217529624047,0.0,-0.19156142231352324,0.0006483376324364715,2.6391900003738743e-05,0.19156142231352324,1.127558227644288,2.0948484224987687,BEARING,BEARING,0.4,0.6,True
0.06,0.06,AEROTWIN-4-001,IDLE,926.7731154801957,22.634395415226106,16.310403548473424,13.047364467997488,2.7166757951284803,0.5463632853474558,17.377049592949387,-0.6553848603161497,-0.2056305920799048,-0.2056305920799048,25.50239119104677,601.2787913792268,24.997091262335115,368.7007432225837,53.475618395517095,0.0009708064282275,4.854032141137664,322.42705098312484,0.1711811834935931,929.3651596357652,385.59421040313623,22.645792206062744,16.720814932643915,13.105312449126995,1.9447871233158156,1.6707153602011044,17.38579922358617,-0.6557148573862503,-0.20573413046935846,-0.20573413046935846,25.503070877361225,601.2818467060392,24.99709327796713,368.8059534524486,53.49087787683624,0.0009712715086430308,4.856357543215154,322.42705098312484,0.16424511264275327,-2.5920441555695106,-0.01139679083663836,-0.41041138417049083,-0.05794798112950694,0.7718886718126647,-1.1243520748536486,-0.008749630636781802,0.0003299970701006183,0.00010353838945365013,0.00010353838945365013,-0.0006796863144558074,-0.0030553268123867383,-2.0156320168496222e-06,-0.1052102298648947,-0.015259481319141344,-4.650804155308455e-07,-0.0023254020774894357,0.0,0.006936070850839832,-0.2511670693381309,-0.008282551480115086,-0.11930563493328221,-0.042113358379002125,1.1219312090300357,-0.5447442223128142,-0.0025434972781342444,9.592938084320298e-05,3.009836902722387e-05,3.009836902722387e-05,-0.000493958077366139,-0.0008881763989496332,-2.929697698909334e-06,-3.0584369146771714e-05,-0.027724348326928303,-0.0033799448803113765,-0.004224931100089816,0.0,0.5040749164854529,0.0008881763989496332,3.0584369146771714e-05,0.5040749164854529,1.1219312090300357,1.8836162492774078,BEARING,BEARING,0.4,0.6,True
0.07,0.07,AEROTWIN-4-001,IDLE,940.1624037690514,22.63584284638374,43.81461326774996,13.054712747312095,2.717440703727967,28.0424598167099,45.748192321969846,-1.5222915706055984,-0.2056437418071442,-0.2056437418071442,25.572241155175092,598.8690100728091,24.996678960607827,368.7141002441389,53.477555671209416,0.0009708654464276,4.854327232138232,322.42705098312484,0.4311457281809726,943.0487893538547,441.3561199812821,22.650211745457526,43.733223881185474,13.127838977980572,1.9464578386760167,28.658927064528882,45.77723259949534,-1.5232578988350065,-0.20577428142041312,-0.20577428142041312,25.573151394401528,598.8730998925179,24.996681686357924,368.8467772174007,53.49679887405736,0.0009714520974429565,4.857260487214782,322.42705098312484,0.4295288707419102,-2.8863855848032927,-0.014368899073787134,0.08138938656448858,-0.07312623066847657,0.7709828650519501,-0.6164672478189814,-0.029040277525496094,0.0009663282294081199,0.00013053961326892072,0.00013053961326892072,-0.0009102392264352943,-0.0040898197087244625,-2.7257500967436954e-06,-0.13267697326182315,-0.019243202847945895,-5.86651015356543e-07,-0.0029332550765506227,0.0,0.0016168574390623691,-0.2796885256592338,-0.010442513861763902,0.023659705396653654,-0.053144062985811445,1.1206146294359738,-0.29867599216035917,-0.008441941141132584,0.0002809093690139883,3.7947561996779274e-05,3.7947561996779274e-05,-0.0006615110657233242,-0.0011889010781175762,-3.961846070848394e-06,-3.856888757611138e-05,-0.034962214476645874,-0.004263452146486503,-0.005329315182686449,0.0,0.11750417435046286,0.0011889010781175762,3.856888757611138e-05,0.11750417435046286,1.1206146294359738,1.8346231978570198,BEARING,BEARING,0.4,0.6,True
0.08,0.08,AEROTWIN-4-001,IDLE,939.0774393867677,22.709810950620756,13.919002034013406,13.434645975067744,2.7567001474713604,-2.2723440885256996,15.383687960927414,-1.05205446173624,-0.206315732588884,-0.206315732588884,25.64261734434225,596.5252115654614,24.99627052685241,369.3986542462354,53.57684201456549,0.0009739003866572,4.869501933286431,322.42705098312484,0.2146624868013731,942.096555814682,497.9390473425134,22.725673733683106,13.498027320704526,13.517263815742046,1.9751167657405455,-1.9943532607780652,15.394433453496893,-1.0527893208564936,-0.20645984394742964,-0.20645984394742964,25.643782500462294,596.5304361620708,24.996274064680602,369.5459701972491,53.59820842546862,0.0009745561191272386,4.872780595636193,322.42705098312484,0.22237370225694275,-3.019116427914355,-0.01586278306234945,0.4209747133088797,-0.08261784067430256,0.7815833817308149,-0.2779908277476344,-0.010745492569478543,0.000734859120253617,0.00014411135854563994,0.00014411135854563994,-0.0011651561200451965,-0.005224596609423315,-3.537828192179404e-06,-0.1473159510136952,-0.021366410903127075,-6.557324700386287e-07,-0.0032786623497624845,0.0,-0.007711215455569659,-0.29255004146456925,-0.01152818536507954,0.12237637014793012,-0.06004203537376638,1.1360223571668817,-0.13468547855990035,-0.0031236897004298086,0.00021362183728302817,4.1892836786523236e-05,4.1892836786523236e-05,-0.0008467704360793578,-0.0015187780841346846,-5.142192139795644e-06,-4.282440436444628e-05,-0.03881978725132098,-0.0047654976020249165,-0.005956872001748698,0.0,-0.5604080999687251,0.0015187780841346846,4.282440436444628e-05,0.5604080999687251,1.1360223571668817,1.9775581172893457,BEARING,BEARING,0.4,0.6,True
0.09,0.09,AEROTWIN-4-001,IDLE,934.4635705469778,22.70384068661244,6.493910783511915,13.403656218904848,2.7535188657474245,-9.663264301140355,-0.206261493502733,7.26779754465472,-0.206261493502733,-0.3613637741373385,25.7121872147062,594.2395430360621,24.99586194368861,369.3432562270903,53.56880719666472,0.0009736540379319,4.86827018965988,322.42705098312484,0.344472137840976,938.166380237605,554.4648406913943,22.720443766992922,7.231761701597502,13.489979769292873,1.9731224124797675,-8.231340480175138,-0.2064123303678826,7.273112408711801,-0.2064123303678826,-0.36162803567226615,25.713614984153104,594.2459309247968,24.995866329440815,369.49737988367616,53.59116098356862,0.0009743397320705444,4.871698660352722,322.42705098312484,0.33191984537476127,-3.7028096906271912,-0.01660308038048086,-0.737850918085587,-0.08632355038802508,0.780396453267657,-1.431923820965217,0.0001508368651495784,-0.005314864057080371,0.0001508368651495784,0.0002642615349276456,-0.0014277694469022606,-0.006387888734707303,-4.385752205848803e-06,-0.1541236565858526,-0.02235378690389922,-6.856941386444021e-07,-0.003428470692842467,0.0,0.012552292466214754,-0.3587993886266658,-0.012066192136977367,-0.21449154595511247,-0.06273513836339031,1.1342971704471756,-0.6937615411653182,4.384792591557511e-05,-0.0015450186212442936,4.384792591557511e-05,7.682021364175743e-05,-0.0010376231445510613,-0.0018569443996242158,-6.3746398340825605e-06,-4.4803388542399004e-05,-0.04061371167132851,-0.004983242286659898,-0.006229052857635293,0.0,0.9122305571377001,0.0018569443996242158,4.4803388542399004e-05,0.9122305571377001,1.1342971704471756,2.0076436633716073,BEARING,BEARING,0.4,0.6,True
